"iso","scope","quintile","gender","year_survey","population","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access"
"BOL","urban","1","female",2020,11677406,0.0169823507936441,299.576135239879,480,1391.61722000579,3200,0.547,0.295,0.0395,0.881,0.842,0.842,0.156,0.155,0.0592,NA,NA,0.997,0.998,NA,NA,NA,NA,NA,0.601,0.172,0.199,0.199,NA,NA,NA,NA,0.972,0.972,NA,NA,0.0275,0.0275,NA,0.0129
"BOL","country","1","all",2020,11677406,0.2,253.572989792429,480,1441.26807794617,5610.66668510437,0.184,0.11,0.0189,0.313,0.294,0.294,0.547,0.543,0.0172,NA,NA,0.837,0.841,NA,NA,NA,NA,NA,0.219,0.0895,0.285,0.285,NA,NA,NA,NA,0.594,0.594,NA,NA,0.406,0.406,NA,0.284
"BOL","country","2","all",2020,11677406,0.2,658.85004469613,837.777791341146,3508.99676965718,11703.3334960938,0.389,0.159,0.0487,0.597,0.549,0.549,0.378,0.374,0.0314,NA,NA,0.922,0.926,NA,NA,NA,NA,NA,0.415,0.139,0.238,0.238,NA,NA,NA,NA,0.792,0.792,NA,NA,0.208,0.208,NA,0.0915
"BOL","country","3","all",2020,11677406,0.2,1033.98452473095,1272.66669921875,5183.0920486321,11834.3333129883,0.524,0.166,0.0401,0.73,0.69,0.69,0.278,0.275,0.0423,NA,NA,0.965,0.968,NA,NA,NA,NA,NA,0.534,0.154,0.175,0.175,NA,NA,NA,NA,0.862,0.862,NA,NA,0.138,0.138,NA,0.0669
"BOL","country","4","all",2020,11677406,0.2,1608.28470889471,2082,7733.26120134752,19816.6667480469,0.604,0.15,0.0316,0.785,0.753,0.753,0.212,0.211,0.0349,NA,NA,0.964,0.966,NA,NA,NA,NA,NA,0.635,0.13,0.145,0.145,NA,NA,NA,NA,0.91,0.91,NA,NA,0.0895,0.0895,NA,0.0324
"BOL","country","5","all",2020,11677406,0.2,3541.98785910395,55500,12873.3819492461,211300,0.719,0.105,0.0216,0.846,0.824,0.824,0.16,0.158,0.0539,NA,NA,0.982,0.984,NA,NA,NA,NA,NA,0.745,0.122,0.0923,0.0923,NA,NA,NA,NA,0.959,0.959,NA,NA,0.0413,0.0413,NA,0.0135
"BOL","rural","2","female",2020,11677406,0.0107148800125585,669.481270280323,833.333333333333,3093.4214789977,5330,0.0318,0.0625,0,0.0943,0.0943,0.0943,0.665,0.648,0,NA,NA,0.742,0.759,NA,NA,NA,NA,NA,0.0719,0.0643,0.403,0.403,NA,NA,NA,NA,0.539,0.539,NA,NA,0.461,0.461,NA,0.269
"BOL","urban","5","all",2020,11677406,0.186306673888256,3553.76808001954,55500,13134.3107559013,211300,0.777,0.105,0.0225,0.904,0.882,0.882,0.114,0.114,0.0565,NA,NA,0.996,0.996,NA,NA,NA,NA,NA,0.799,0.125,0.0631,0.0631,NA,NA,NA,NA,0.987,0.987,NA,NA,0.0128,0.0128,NA,0.00277
"BOL","rural","4","all",2020,11677406,0.0296082113785605,1575.4630213776,2072.33333301544,7386.01920291344,17833.3333129883,0.126,0.0692,0.0147,0.21,0.195,0.195,0.635,0.63,0.00345,NA,NA,0.825,0.83,NA,NA,NA,NA,NA,0.211,0.0635,0.34,0.34,NA,NA,NA,NA,0.614,0.614,NA,NA,0.386,0.386,NA,0.168
"BOL","rural","1","female",2020,11677406,0.0202675547406979,241.051933122527,479.166656494141,1209.2057139439,4322.50001907349,0.00635,0.0499,0.00509,0.0614,0.0563,0.0563,0.701,0.687,0.00614,NA,NA,0.744,0.757,NA,NA,NA,NA,NA,0.07,0.0327,0.391,0.391,NA,NA,NA,NA,0.494,0.494,NA,NA,0.506,0.506,NA,0.341
"BOL","country","3","female",2020,11677406,0.0388699030481991,1029.35434849866,1269.44441731771,4552.1830892738,10074.9999980927,0.583,0.174,0.0344,0.791,0.757,0.757,0.205,0.201,0.0296,NA,NA,0.958,0.962,NA,NA,NA,NA,NA,0.583,0.174,0.127,0.127,NA,NA,NA,NA,0.884,0.884,NA,NA,0.116,0.116,NA,0.0786
"BOL","urban","total","all",2020,11677406,0.694593767101639,1531.54685836215,55500,6750.87669497466,211300,0.67,0.171,0.0433,0.884,0.84,0.84,0.154,0.154,0.0493,NA,NA,0.994,0.995,NA,NA,NA,NA,NA,0.689,0.153,0.126,0.126,NA,NA,NA,NA,0.968,0.968,NA,NA,0.0317,0.0317,NA,0.00971
"BRA","urban","5","male",2019,208494900,0.115033386695517,4114.64918973498,116625,13410.1476124067,325000,0.953,0.00493,NA,0.957,0.975,0.957,0.0426,0.000152,NA,0.925,0.975,0.958,1,0.906,0.00356,NA,NA,0.999,0.818,0.148,0,0.0261,0.818,0.148,0,0.026,0.967,0.993,0.966,0.992,0.00734,0.0334,0.00779,0.000172
"BRA","urban","5","female",2019,208494900,0.0778423221256594,3728.30965585877,105333.333333333,11377.1621233472,316000,0.961,0.00332,NA,0.965,0.978,0.965,0.0352,0.000121,NA,0.925,0.977,0.965,1,0.911,0.00293,NA,NA,0.999,0.826,0.145,0,0.0218,0.826,0.145,0,0.0217,0.971,0.993,0.971,0.993,0.00705,0.0289,0.00742,8.46e-05
"BRA","urban","total","female",2019,208494900,0.432045750096774,1089.20934513678,105333.333333333,4025.62760437968,316000,0.92,0.0102,NA,0.93,0.949,0.93,0.0697,0.000452,NA,0.833,0.946,0.931,1,0.813,0.00751,NA,NA,0.992,0.688,0.222,0,0.0579,0.688,0.22,0,0.0558,0.911,0.968,0.908,0.964,0.0315,0.0894,0.0363,0.00135
"BRA","urban","total","male",2019,208494900,0.427490027885061,1489.89910702398,116625,5380.27240882517,325000,0.92,0.00898,NA,0.929,0.949,0.929,0.0712,0.000496,NA,0.845,0.946,0.929,1,0.824,0.0069,NA,NA,0.994,0.695,0.218,0,0.0626,0.695,0.216,0,0.0608,0.913,0.976,0.911,0.972,0.0242,0.0868,0.0282,0.000906
"BRA","urban","2","male",2019,208494900,0.0771926493953074,511.305780838292,666,2323.47830824498,8623,0.887,0.0127,NA,0.9,0.928,0.9,0.1,0.000479,NA,0.787,0.922,0.9,1,0.76,0.0105,NA,NA,0.992,0.6,0.278,0,0.0875,0.599,0.276,0,0.0853,0.878,0.965,0.874,0.96,0.035,0.122,0.0404,0.000716
"BRA","urban","3","male",2019,208494900,0.0906645156677361,848.096953367447,1024.33333333333,3415.86881025736,10800,0.923,0.00812,NA,0.931,0.949,0.931,0.0693,0.000355,NA,0.838,0.946,0.931,1,0.818,0.00683,NA,NA,0.997,0.682,0.232,0,0.0641,0.681,0.231,0,0.0631,0.914,0.978,0.912,0.975,0.0223,0.0865,0.025,0.000317
