"iso","scope","quintile","gender","population","population_perc","year_survey","pais_c","zone","sex","quintileipc","population_prc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house__hh","access_water_piped_plot__hh","water_trucked__hh","water_on_premises__hh","water_distr__hh","consume_distr__hh","consume_other_max__hh","consume_other_min__hh","consume_bottled__hh","water_dist_daily__hh","water_dist_continuity_jmp__hh","improved_w_access_min__hh","improved_w_access_max__hh","access_water_piped_house_daily__hh","access_water_piped_plot_daily__hh","treat_water__hh","water_meter__hh","access_san_exclusive__hh","access_sewer__hh","access_septic__hh","access_latrine_min__hh","access_latrine_max__hh","access_sewer_exclusive__hh","access_septic_exclusive__hh","access_latrine_exclusive_min__hh","access_latrine_exclusive_max__hh","improved_san_min__hh","improved_san_max__hh","improved_san_min_exclusive__hh","improved_san_max_exclusive__hh","access_latrines_unimproved_min__hh","access_latrines_unimproved_max__hh","access_latrines_unimproved_exclusive_min__hh","no_sanitation_access__hh","name"
NA,NA,NA,NA,18419192,NA,2017,"CHL","rural","male","total",0.0904,205000,21800000,850000,87000000,0.515,0.0185,0.0668,0.6,0.709,0.533,0.382,0.203,0,NA,NA,0.737,0.915,NA,NA,NA,0.523,NA,0.164,0.562,0.252,0.252,NA,NA,NA,NA,0.979,0.979,NA,NA,0.0213633513317612,0.0213633513317612,NA,0.0178033117024238,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","urban","all","1",0.16,72400,106000,374000,1490000,0.968,0.0246,0.002,0.995,0.995,0.993,0.00587,0.00407,0,NA,NA,0.997,0.998,NA,NA,NA,0.982,NA,0.958,0.0205,0.0148,0.0148,NA,NA,NA,NA,0.993,0.993,NA,NA,0.00698391740425934,0.00698391740425934,NA,0.00658866146718579,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","urban","all","2",0.17,133000,161000,671000,1900000,0.977,0.0179,0.000446,0.996,0.998,0.995,0.00393,0.00294,0,NA,NA,0.998,0.999,NA,NA,NA,0.991,NA,0.968,0.0205,0.0078,0.0078,NA,NA,NA,NA,0.996,0.996,NA,NA,0.00400350382039835,0.00400350382039835,NA,0.00370067554515797,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","urban","all","3",0.177,194000,235000,906000,3010000,0.982,0.0143,0.000629,0.996,0.998,0.996,0.00334,0.00229,0,NA,NA,0.998,0.999,NA,NA,NA,0.992,NA,0.969,0.0185,0.0091,0.0091,NA,NA,NA,NA,0.997,0.997,NA,NA,0.00306512381739223,0.00306512381739223,NA,0.00286576617073257,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","urban","all","4",0.184,297000,388000,1300000,6100000,0.982,0.0141,0.000487,0.997,0.998,0.996,0.00329,0.0023,0,NA,NA,0.999,1,NA,NA,NA,0.994,NA,0.976,0.0141,0.00763,0.00763,NA,NA,NA,NA,0.998,0.998,NA,NA,0.00211343963455324,0.00211343963455324,NA,0.00170109872377563,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","urban","all","5",0.189,837000,48900000,2940000,79800000,0.986,0.0125,0.000106,0.998,0.999,0.998,0.0014,0.000665,0,NA,NA,0.999,1,NA,NA,NA,0.997,NA,0.981,0.0126,0.00514,0.00514,NA,NA,NA,NA,0.999,0.999,NA,NA,0.00113227885596184,0.00113227885596184,NA,0.000714467067255226,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","urban","all","total",0.875,292000,48900000,1190000,79800000,0.979,0.0164,0.000699,0.996,0.998,0.996,0.00348,0.00239,0,NA,NA,0.998,0.999,NA,NA,NA,0.992,NA,0.971,0.0171,0.00872,0.00872,NA,NA,NA,NA,0.997,0.997,NA,NA,0.00333929549591564,0.00333929549591564,NA,0.00299274238428798,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","urban","female","1",0.077,70300,106000,351000,1130000,0.963,0.0283,0.00278,0.994,0.994,0.991,0.00641,0.00502,0,NA,NA,0.996,0.998,NA,NA,NA,0.981,NA,0.959,0.0192,0.0136,0.0136,NA,NA,NA,NA,0.992,0.992,NA,NA,0.00779805382746094,0.00779805382746094,NA,0.00714253058698167,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","urban","female","2",0.0708,133000,161000,650000,1900000,0.977,0.0179,0.000218,0.995,0.998,0.995,0.0045,0.00364,0,NA,NA,0.998,0.999,NA,NA,NA,0.991,NA,0.967,0.0201,0.0079,0.0079,NA,NA,NA,NA,0.995,0.995,NA,NA,0.00517944088328505,0.00517944088328505,NA,0.00464910723391718,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","urban","female","3",0.0687,193000,235000,864000,2300000,0.983,0.0127,0.000934,0.997,0.998,0.996,0.0042,0.00298,0,NA,NA,0.999,1,NA,NA,NA,0.992,NA,0.974,0.0154,0.00807,0.00807,NA,NA,NA,NA,0.998,0.998,NA,NA,0.00217802818724417,0.00217802818724417,NA,0.00217802818724417,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","urban","female","4",0.0626,294000,388000,1170000,4190000,0.983,0.0136,0.000358,0.996,0.998,0.996,0.00351,0.00202,0,NA,NA,0.998,1,NA,NA,NA,0.995,NA,0.977,0.0127,0.00756,0.00756,NA,NA,NA,NA,0.998,0.998,NA,NA,0.00240400137087681,0.00240400137087681,NA,0.00168213870028295,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","urban","female","5",0.0565,807000,22000000,2630000,79800000,0.985,0.0134,0.000211,0.998,0.999,0.998,0.0014,0.000589,0,NA,NA,0.999,0.999,NA,NA,NA,0.997,NA,0.982,0.0123,0.00516,0.00516,NA,NA,NA,NA,0.999,0.999,NA,NA,0.000903867085395082,0.000903867085395082,NA,0.000536529711350634,"NA_2017"
