"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"PER","urban","2","all",32824358,2020,0.14452967725294,271.68705084214,342.771813392639,1578.27306057182,4654.16220092773,0.849,0.0453,0.0414,0.936,0.895,0.8,0.0986,0.0636,NA,0.359,0.00607,0.863,0.898,0.327,0.025,NA,NA,NA,0.796,0.0455,0.0993,0.0993,NA,NA,NA,NA,0.941,0.941,NA,NA,0.0591,0.0591,NA,NA,"PER_2020"
"PER","urban","3","all",32824358,2020,0.1674190448501,429.906629063173,526.227331797282,2429.17874870843,8306.25729370117,0.85,0.0446,0.0405,0.935,0.895,0.809,0.0964,0.0583,NA,0.482,0.00701,0.867,0.905,0.449,0.0276,NA,NA,NA,0.829,0.0326,0.0798,0.0798,NA,NA,NA,NA,0.942,0.942,NA,NA,0.0583,0.0583,NA,NA,"PER_2020"
"PER","urban","4","all",32824358,2020,0.181017716715956,663.88121147604,839.053295135498,3493.43407172086,9018.62779998779,0.876,0.0441,0.0326,0.952,0.92,0.846,0.0771,0.0507,NA,0.553,0.0137,0.897,0.924,0.518,0.0277,NA,NA,NA,0.865,0.0235,0.0632,0.0632,NA,NA,NA,NA,0.952,0.952,NA,NA,0.0485,0.0485,NA,NA,"PER_2020"
"PER","urban","5","all",32824358,2020,0.189612452576761,1508.90302220894,28256.5826673508,6505.80771928236,74361.704208374,0.917,0.0294,0.0221,0.969,0.947,0.892,0.0504,0.0317,NA,0.635,0.0109,0.923,0.942,0.612,0.02,NA,NA,NA,0.919,0.0167,0.034,0.034,NA,NA,NA,NA,0.97,0.97,NA,NA,0.0298,0.0298,NA,NA,"PER_2020"
"PER","urban","total","all",32824358,2020,0.78833349484322,621.069652119982,28256.5826673508,3054.16999273691,74361.704208374,0.866,0.0422,0.0356,0.944,0.908,0.831,0.0865,0.0547,NA,0.459,0.00856,0.886,0.917,0.431,0.023,NA,NA,NA,0.845,0.0323,0.0737,0.0737,NA,NA,NA,NA,0.951,0.951,NA,NA,0.0491,0.0491,NA,NA,"PER_2020"
"PER","urban","1","female",32824358,2020,0.0316864399705147,122.677694593849,202.548774719238,654.542542065593,1763.56194227934,0.792,0.0831,0.0531,0.928,0.875,0.801,0.123,0.0804,NA,0.161,0.000451,0.881,0.924,0.143,0.0144,NA,NA,NA,0.794,0.0435,0.109,0.109,NA,NA,NA,NA,0.947,0.947,NA,NA,0.0534,0.0534,NA,NA,"PER_2020"
"PER","urban","2","female",32824358,2020,0.0455215904530542,268.953571910385,342.761490345001,1548.88512743173,4654.16220092773,0.824,0.0525,0.0467,0.923,0.876,0.794,0.114,0.0697,NA,0.371,0.00729,0.864,0.908,0.332,0.0298,NA,NA,NA,0.791,0.0523,0.0995,0.0995,NA,NA,NA,NA,0.943,0.943,NA,NA,0.057,0.057,NA,NA,"PER_2020"
"PER","urban","3","female",32824358,2020,0.0523182633940001,426.839374574582,526.227331797282,2392.25224598415,5251.26449775696,0.845,0.0477,0.0442,0.937,0.893,0.821,0.0943,0.0578,NA,0.498,0.00703,0.879,0.915,0.469,0.0246,NA,NA,NA,0.841,0.0282,0.0647,0.0647,NA,NA,NA,NA,0.934,0.934,NA,NA,0.0657,0.0657,NA,NA,"PER_2020"
"PER","urban","4","female",32824358,2020,0.0490381901699369,663.368031480858,838.355543136597,3290.06354661119,9018.62779998779,0.864,0.052,0.0286,0.944,0.916,0.851,0.0789,0.0443,NA,0.565,0.0142,0.895,0.93,0.532,0.0307,NA,NA,NA,0.874,0.0215,0.0537,0.0537,NA,NA,NA,NA,0.949,0.949,NA,NA,0.0511,0.0511,NA,NA,"PER_2020"
"PER","urban","5","female",32824358,2020,0.055881865270899,1469.95100560265,14872.3408416748,6173.68318426592,74361.704208374,0.916,0.029,0.0295,0.974,0.945,0.906,0.0497,0.0371,NA,0.676,0.0129,0.943,0.955,0.652,0.0201,NA,NA,NA,0.918,0.0175,0.0287,0.0287,NA,NA,NA,NA,0.964,0.964,NA,NA,0.0355,0.0355,NA,NA,"PER_2020"
"PER","urban","total","female",32824358,2020,0.23137990925341,610.372723090705,14872.3408416748,2913.69297339145,74361.704208374,0.854,0.0502,0.0392,0.943,0.904,0.84,0.0884,0.0556,NA,0.482,0.00905,0.895,0.928,0.453,0.0243,NA,NA,NA,0.85,0.031,0.0668,0.0668,NA,NA,NA,NA,0.948,0.948,NA,NA,0.052,0.052,NA,NA,"PER_2020"
"PER","urban","1","male",32824358,2020,0.0845296026108447,119.463968555234,202.418944954872,738.135527949187,2713.41621017456,0.823,0.0394,0.0453,0.907,0.862,0.77,0.132,0.0815,NA,0.121,0.00297,0.852,0.902,0.107,0.0109,NA,NA,NA,0.769,0.0579,0.115,0.115,NA,NA,NA,NA,0.943,0.943,NA,NA,0.0575,0.0575,NA,NA,"PER_2020"
"PER","urban","2","male",32824358,2020,0.0990080867998854,272.943840185973,342.771813392639,1591.78494126667,3845.8802690506,0.862,0.0416,0.0387,0.943,0.904,0.802,0.0908,0.0604,NA,0.353,0.00545,0.863,0.893,0.325,0.0226,NA,NA,NA,0.799,0.0421,0.0992,0.0992,NA,NA,NA,NA,0.94,0.94,NA,NA,0.0601,0.0601,NA,NA,"PER_2020"
"PER","urban","3","male",32824358,2020,0.1151007814561,431.300828357048,526.201640605927,2445.96343488787,8306.25729370117,0.853,0.0431,0.0387,0.934,0.896,0.803,0.0975,0.0585,NA,0.474,0.00699,0.861,0.9,0.44,0.029,NA,NA,NA,0.824,0.0347,0.087,0.087,NA,NA,NA,NA,0.945,0.945,NA,NA,0.0547,0.0547,NA,NA,"PER_2020"
"PER","urban","4","male",32824358,2020,0.13197952654602,664.071888157899,839.053295135498,3568.99823493833,9009.00276565552,0.881,0.0408,0.0342,0.956,0.921,0.845,0.0763,0.0533,NA,0.548,0.0135,0.898,0.921,0.513,0.0265,NA,NA,NA,0.861,0.0244,0.0672,0.0672,NA,NA,NA,NA,0.953,0.953,NA,NA,0.0474,0.0474,NA,NA,"PER_2020"
"PER","urban","5","male",32824358,2020,0.133730587305862,1525.17986199462,28256.5826673508,6644.59226284007,56513.1653347015,0.918,0.0296,0.0187,0.966,0.947,0.885,0.0507,0.0293,NA,0.616,0.0101,0.914,0.936,0.594,0.02,NA,NA,NA,0.92,0.0164,0.0364,0.0364,NA,NA,NA,NA,0.973,0.973,NA,NA,0.0273,0.0273,NA,NA,"PER_2020"
"PER","urban","total","male",32824358,2020,0.55695358558981,625.513567254245,28256.5826673508,3112.52954159217,56513.1653347015,0.872,0.0385,0.0339,0.944,0.91,0.827,0.0857,0.0543,NA,0.449,0.00833,0.881,0.913,0.422,0.0223,NA,NA,NA,0.842,0.0329,0.0769,0.0769,NA,NA,NA,NA,0.952,0.952,NA,NA,0.0478,0.0478,NA,NA,"PER_2020"
