"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"CHL","urban","1","all",18419192,2017,0.159982111272064,72406.9503186848,105964,373669.475480458,1487700,0.968,0.0246,0.002,0.995,0.995,0.993,0.00587,0.00407,0,NA,NA,0.997,0.998,NA,NA,NA,0.982,NA,0.958,0.0205,0.0148,0.0148,NA,NA,NA,NA,0.993,0.993,NA,NA,0.00698,0.00698,NA,0.00659,"CHL_2017"
"CHL","urban","2","all",18419192,2017,0.169709231932939,132956.917211282,160503.333333333,670760.838088862,1902315,0.977,0.0179,0.000446,0.996,0.998,0.995,0.00393,0.00294,0,NA,NA,0.998,0.999,NA,NA,NA,0.991,NA,0.968,0.0205,0.0078,0.0078,NA,NA,NA,NA,0.996,0.996,NA,NA,0.004,0.004,NA,0.0037,"CHL_2017"
"CHL","urban","3","all",18419192,2017,0.177472723716245,193986.648403193,234533.4,906284.968068868,3006755,0.982,0.0143,0.000629,0.996,0.998,0.996,0.00334,0.00229,0,NA,NA,0.998,0.999,NA,NA,NA,0.992,NA,0.969,0.0185,0.0091,0.0091,NA,NA,NA,NA,0.997,0.997,NA,NA,0.00307,0.00307,NA,0.00287,"CHL_2017"
"CHL","urban","4","all",18419192,2017,0.183566407917454,296802.722432614,387500,1299626.18508753,6101922,0.982,0.0141,0.000487,0.997,0.998,0.996,0.00329,0.0023,0,NA,NA,0.999,1,NA,NA,NA,0.994,NA,0.976,0.0141,0.00763,0.00763,NA,NA,NA,NA,0.998,0.998,NA,NA,0.00211,0.00211,NA,0.0017,"CHL_2017"
"CHL","urban","5","all",18419192,2017,0.189108987652181,837431.748559104,48898332,2937476.88254457,79767502,0.986,0.0125,0.000106,0.998,0.999,0.998,0.0014,0.000665,0,NA,NA,0.999,1,NA,NA,NA,0.997,NA,0.981,0.0126,0.00514,0.00514,NA,NA,NA,NA,0.999,0.999,NA,NA,0.00113,0.00113,NA,0.000714,"CHL_2017"
"CHL","urban","total","all",18419192,2017,0.874781678415551,292235.279280571,48898332,1190578.74478731,79767502,0.979,0.0164,0.000699,0.996,0.998,0.996,0.00348,0.00239,0,NA,NA,0.998,0.999,NA,NA,NA,0.992,NA,0.971,0.0171,0.00872,0.00872,NA,NA,NA,NA,0.997,0.997,NA,NA,0.00334,0.00334,NA,0.00299,"CHL_2017"
"CHL","urban","1","female",18419192,2017,0.0770458798565293,70262.8007626844,105956,350735.969771901,1131091,0.963,0.0283,0.00278,0.994,0.994,0.991,0.00641,0.00502,0,NA,NA,0.996,0.998,NA,NA,NA,0.981,NA,0.959,0.0192,0.0136,0.0136,NA,NA,NA,NA,0.992,0.992,NA,NA,0.0078,0.0078,NA,0.00714,"CHL_2017"
"CHL","urban","2","female",18419192,2017,0.070837888227478,132820.043004191,160503.333333333,649805.603338343,1902315,0.977,0.0179,0.000218,0.995,0.998,0.995,0.0045,0.00364,0,NA,NA,0.998,0.999,NA,NA,NA,0.991,NA,0.967,0.0201,0.0079,0.0079,NA,NA,NA,NA,0.995,0.995,NA,NA,0.00518,0.00518,NA,0.00465,"CHL_2017"
"CHL","urban","3","female",18419192,2017,0.0687202218260703,192835.607659899,234508,863574.097214428,2305000,0.983,0.0127,0.000934,0.997,0.998,0.996,0.0042,0.00298,0,NA,NA,0.999,1,NA,NA,NA,0.992,NA,0.974,0.0154,0.00807,0.00807,NA,NA,NA,NA,0.998,0.998,NA,NA,0.00218,0.00218,NA,0.00218,"CHL_2017"
"CHL","urban","4","female",18419192,2017,0.062560444418891,293731.884432799,387500,1174363.12399601,4185554,0.983,0.0136,0.000358,0.996,0.998,0.996,0.00351,0.00202,0,NA,NA,0.998,1,NA,NA,NA,0.995,NA,0.977,0.0127,0.00756,0.00756,NA,NA,NA,NA,0.998,0.998,NA,NA,0.0024,0.0024,NA,0.00168,"CHL_2017"
"CHL","urban","5","female",18419192,2017,0.0565415867360861,807049.704956757,22029164,2628155.74900678,79767502,0.985,0.0134,0.000211,0.998,0.999,0.998,0.0014,0.000589,0,NA,NA,0.999,0.999,NA,NA,NA,0.997,NA,0.982,0.0123,0.00516,0.00516,NA,NA,NA,NA,0.999,0.999,NA,NA,0.000904,0.000904,NA,0.000537,"CHL_2017"
"CHL","urban","total","female",18419192,2017,0.339277681183739,250713.168350315,22029164,983189.740014152,79767502,0.977,0.0176,0.000962,0.996,0.997,0.995,0.00414,0.00298,0,NA,NA,0.998,0.999,NA,NA,NA,0.991,NA,0.971,0.0162,0.00867,0.00867,NA,NA,NA,NA,0.996,0.996,NA,NA,0.00388,0.00388,NA,0.00342,"CHL_2017"
"CHL","urban","1","male",18419192,2017,0.0829362314155349,74398.816675119,105964,394974.182667569,1487700,0.973,0.0208,0.0012,0.995,0.996,0.994,0.00532,0.0031,0,NA,NA,0.997,0.999,NA,NA,NA,0.984,NA,0.956,0.0218,0.016,0.016,NA,NA,NA,NA,0.994,0.994,NA,NA,0.00616,0.00616,NA,0.00603,"CHL_2017"
"CHL","urban","2","male",18419192,2017,0.0988713437054612,133054.982832924,160500,685774.536916097,1675000,0.978,0.0179,0.000629,0.997,0.998,0.996,0.00347,0.00238,0,NA,NA,0.998,1,NA,NA,NA,0.992,NA,0.968,0.0209,0.00771,0.00771,NA,NA,NA,NA,0.997,0.997,NA,NA,0.00306,0.00306,NA,0.00294,"CHL_2017"
"CHL","urban","3","male",18419192,2017,0.108752501890175,194713.985924953,234533.4,933273.777231767,3006755,0.981,0.0154,0.000413,0.996,0.997,0.996,0.00273,0.0018,0,NA,NA,0.998,0.999,NA,NA,NA,0.992,NA,0.966,0.0207,0.00982,0.00982,NA,NA,NA,NA,0.996,0.996,NA,NA,0.00369,0.00369,NA,0.00335,"CHL_2017"
"CHL","urban","4","male",18419192,2017,0.121005963498563,298390.354847186,387500,1364387.56167248,6101922,0.982,0.0145,0.000562,0.997,0.998,0.996,0.00316,0.00246,0,NA,NA,0.999,1,NA,NA,NA,0.994,NA,0.975,0.015,0.00768,0.00768,NA,NA,NA,NA,0.998,0.998,NA,NA,0.00194,0.00194,NA,0.00171,"CHL_2017"
"CHL","urban","5","male",18419192,2017,0.132567400916095,850390.054610898,48898332,3069406.05653736,74949922,0.986,0.0121,5.53e-05,0.998,0.999,0.998,0.0014,0.000702,0,NA,NA,0.999,1,NA,NA,NA,0.997,NA,0.981,0.0127,0.00513,0.00513,NA,NA,NA,NA,0.999,0.999,NA,NA,0.00124,0.00124,NA,0.000801,"CHL_2017"
"CHL","urban","total","male",18419192,2017,0.535503997231812,318542.320100236,48898332,1321973.58218565,74949922,0.981,0.0157,0.000518,0.997,0.998,0.996,0.00303,0.00198,0,NA,NA,0.998,0.999,NA,NA,NA,0.992,NA,0.971,0.0177,0.00875,0.00875,NA,NA,NA,NA,0.997,0.997,NA,NA,0.00296,0.00296,NA,0.0027,"CHL_2017"
