"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"NIC","rural","2","male",6142734,2014,0.0933643778879057,943.046437505908,1212.63887532552,7287.90825996907,15929.6666564941,0.221,0.16,0.00144,0.383,0.382,0.382,0.55,0.0314,NA,NA,NA,0.413,0.932,NA,NA,NA,NA,NA,0,0.0123,0.381,0.381,NA,NA,NA,NA,0.393,0.393,NA,NA,0.607,0.607,NA,0.187,"NIC_2014"
"NIC","rural","3","male",6142734,2014,0.0668735738473197,1530.03595925023,1927.05554199219,10971.6532098852,34388.166015625,0.0625,0.145,0.00347,0.211,0.207,0.207,0.736,0.0694,NA,NA,NA,0.277,0.944,NA,NA,NA,NA,NA,0,0.0507,0.357,0.357,NA,NA,NA,NA,0.408,0.408,NA,NA,0.592,0.592,NA,0.122,"NIC_2014"
"NIC","rural","4","male",6142734,2014,0.0537025769828437,2377.06789198399,2906.8,15799.8482521296,35268.166015625,0.124,0.215,0,0.34,0.34,0.34,0.538,0.0365,NA,NA,NA,0.376,0.878,NA,NA,NA,NA,NA,0,0.0789,0.282,0.282,NA,NA,NA,NA,0.36,0.36,NA,NA,0.64,0.64,NA,0.159,"NIC_2014"
"NIC","rural","5","male",6142734,2014,0.0223954020458986,6661.7975287228,240000,29032.8766019217,1200000,0.125,0.191,0.00159,0.318,0.316,0.316,0.657,0.0649,NA,NA,NA,0.381,0.973,NA,NA,NA,NA,NA,0.0112,0.138,0.247,0.247,NA,NA,NA,NA,0.396,0.396,NA,NA,0.604,0.604,NA,0.057,"NIC_2014"
"NIC","rural","total","male",6142734,2014,0.355503303019585,1429.69371694715,240000,9028.01065862522,1200000,0.125,0.156,0.00113,0.282,0.281,0.281,0.63,0.0443,NA,NA,NA,0.326,0.911,NA,NA,NA,NA,NA,0.00071,0.0398,0.317,0.317,NA,NA,NA,NA,0.357,0.357,NA,NA,0.643,0.643,NA,0.149,"NIC_2014"
"NIC","urban","1","all",6142734,2014,0.0545343519421675,307.051675657444,689.444444444444,2103.69079317333,7690,0.498,0.318,0,0.816,0.816,0.816,0.167,0.0493,NA,NA,NA,0.865,0.983,NA,NA,NA,NA,NA,0.295,0.161,0.213,0.213,NA,NA,NA,NA,0.669,0.669,NA,NA,0.331,0.331,NA,0.0382,"NIC_2014"
"NIC","urban","2","all",6142734,2014,0.0912880923733695,965.232619557376,1211.66666666667,6752.4472355956,16340,0.509,0.339,0,0.848,0.848,0.848,0.142,0.0482,NA,NA,NA,0.897,0.991,NA,NA,NA,NA,NA,0.29,0.122,0.218,0.218,NA,NA,NA,NA,0.63,0.63,NA,NA,0.37,0.37,NA,0.0357,"NIC_2014"
"NIC","urban","3","all",6142734,2014,0.118204699337035,1568.13072163261,1927.63891601562,10590.6678669319,31800,0.53,0.347,0,0.877,0.877,0.877,0.121,0.04,NA,NA,NA,0.917,0.998,NA,NA,NA,NA,NA,0.321,0.138,0.197,0.197,NA,NA,NA,NA,0.656,0.656,NA,NA,0.344,0.344,NA,0.0346,"NIC_2014"
"NIC","urban","4","all",6142734,2014,0.132494013061878,2352.50255260757,2908.51391601562,15856.5812810971,51009.1671524048,0.563,0.338,0,0.901,0.901,0.901,0.0988,0.0302,NA,NA,NA,0.931,0.999,NA,NA,NA,NA,NA,0.416,0.148,0.148,0.148,NA,NA,NA,NA,0.712,0.712,NA,NA,0.288,0.288,NA,0.0227,"NIC_2014"
"NIC","urban","5","all",6142734,2014,0.169213523123695,6787.43413931483,4e+05,36216.8403694852,853033.1875,0.681,0.243,0.00015,0.924,0.924,0.924,0.0753,0.0213,NA,NA,NA,0.946,1,NA,NA,NA,NA,NA,0.533,0.189,0.117,0.117,NA,NA,NA,NA,0.839,0.839,NA,NA,0.161,0.161,NA,0.0112,"NIC_2014"
